wikiStats|lt

redirects|2496
r|Šablonas:Country data Swaziland|Šablonas:Country data Svazilandas
r|Šablonas:City/NOR|Šablonas:City/Norvegijos miestas
r|Šablonas:Pramog-stub|Šablonas:Pramoga-stub
r|Šablonas:Country data Republic of the Congo|Šablonas:Country data Kongo Respublika
r|Šablonas:Country data Finland|Šablonas:Country data Suomija
r|Šablonas:Country data Norfolk Island|Šablonas:Country data Norfolko sala
r|Šablonas:FIA WEC sezonas/doc|Šablonas:Infolentelė FIA WEC sezonas/doc
r|Šablonas:LBA-ter|Šablonas:Libija-ter
r|Šablonas:Miami Heat|Šablonas:Majamio Heat
r|Šablonas:Country data Brunei Darussalam|Šablonas:Country data Brunėjus
r|Šablonas:Fftchkos|Šablonas:Ffsvkkos
r|Šablonas:City/TUR|Šablonas:City/Turkijos miestas
r|Šablonas:Categ|Šablonas:Kateg
r|Šablonas:City/MNE|Šablonas:City/Juodkalnijos miestas
r|Šablonas:Country data Šiaurės Osetija-Alanija|Šablonas:Country data Šiaurės Osetija
r|Šablonas:Prekybos tinklas-stub|Šablonas:Prekyba
r|Šablonas:Country data British Columbia|Šablonas:Country data Britų Kolumbija
r|Šablonas:Ffusrmet|Šablonas:Ffukrmet
r|Šablonas:Country data Austria|Šablonas:Country data Austrija
r|Šablonas:Oro uostas|Šablonas:Infolentelė oro uostas
r|Šablonas:Coor title dm|Šablonas:Coord
r|Šablonas:Country data Vašingtonas (valstija)|Šablonas:Country data Vašingtono valstija
r|Šablonas:Location map Guamas|Šablonas:Location map JAV Guamas
r|Šablonas:Country alias DEN|Šablonas:Country alias Denmark
r|Šablonas:Fftchtrn|Šablonas:Ffsvkspa
r|Šablonas:Country data Republic of Ireland|Šablonas:Country data Airijos Respublika
r|Šablonas:Pasiūlymas trinti|Šablonas:PTR
r|Šablonas:Country alias NZL|Šablonas:Country alias New Zealand
r|Šablonas:Country data Islamic State of Iraq|Šablonas:Country data Irako Islamo Valstybė
r|Šablonas:Country data Svalbard and Jan Mayen|Šablonas:Country data Svalbardas
r|Šablonas:Country data Yap|Šablonas:Country data Japas
r|Šablonas:Senovinis miestas|Šablonas:Sen miestas
r|Šablonas:Varėnos seniūnijos|Šablonas:Varėnos rajonas
r|Šablonas:Country data Saint Pierre and Miquelon|Šablonas:Country data Sen Pjeras ir Mikelonas
r|Šablonas:Infobox musical artist|Šablonas:Infolentelė muzikos atlikėjas
r|Šablonas:Country data Czechoslovakia|Šablonas:Country data Čekoslovakija
r|Šablonas:Location map Šilutės rajonas|Šablonas:Location map Šilutės rajono savivaldybė
r|Šablonas:Country data SFR Yugoslavia|Šablonas:Country data Jugoslavijos SFR
r|Šablonas:Country data MX-SLP|Šablonas:Country data San Luis Potosi
r|Šablonas:Šventosios Romos imperatoriai|Šablonas:Šventosios Romos imperijos imperatoriai
r|Šablonas:Country data Libyan Arab Jamahiriya|Šablonas:Country data Libija
r|Šablonas:Country data MX-CAM|Šablonas:Country data Kampečės valstija
r|Šablonas:Country data Wales|Šablonas:Country data Velsas
r|Šablonas:Country data Åland Islands|Šablonas:Country data Alandai
r|Šablonas:Bua|Šablonas:Bxr
r|Šablonas:Infobox News event|Šablonas:Infolentelė naujienų įvykis
r|Šablonas:Country data Saudi Arabia|Šablonas:Country data Saudo Arabija
r|Šablonas:Infobox biblioteka/doc|Šablonas:Infolentelė biblioteka/doc
r|Šablonas:Bar percent|Šablonas:Diagramos procentai
r|Šablonas:Country data Serbų Krajinos respublika|Šablonas:Country data Serbų Krajinos Respublika
r|Šablonas:Gfdl-self|Šablonas:GFDL-self
r|Šablonas:Country data MTN|Šablonas:Country data Mauritanija
r|Šablonas:Fscghaj|Šablonas:Fsrbhaj
r|Šablonas:Country data OMA|Šablonas:Country data Omanas
r|Šablonas:Herbas-stub|Šablonas:Heraldika-stub
r|Šablonas:Country data New Caledonia|Šablonas:Country data Naujoji Kaledonija
r|Šablonas:Calendar/PirmMėnPradžiaPir|Šablonas:Calendar/MėnPradžiaPir
r|Šablonas:User Europosos vikisritis|Šablonas:User Europos vikisritis
r|Šablonas:Menin-stub|Šablonas:Menininkas-stub
r|Šablonas:No license|Šablonas:Nėra licencijos
r|Šablonas:Country data MGL|Šablonas:Country data Mongolija
r|Šablonas:Taxobox|Šablonas:Auto taxobox
r|Šablonas:Country data Macedonia, Republic of|Šablonas:Country data Makedonija
r|Šablonas:Archeo-stub|Šablonas:Archeologija-stub
r|Šablonas:Fs start|Šablonas:Football squad start
r|Šablonas:Europos transportas pagal šalis|Šablonas:Europos transportas
r|Šablonas:Country data GRL|Šablonas:Country data Grenlandija
r|Šablonas:Country data CMR|Šablonas:Country data Kamerūnas
r|Šablonas:Ffusrcsk|Šablonas:Ffruscsk
r|Šablonas:Country data Abkhazia|Šablonas:Country data Abchazija
r|Šablonas:Country data Guernsey|Šablonas:Country data Gernsis
r|Šablonas:Country data Liechtenstein|Šablonas:Country data Lichtenšteinas
r|Šablonas:Ffgdrkms|Šablonas:Ffgerkms
r|Šablonas:Country data Occupied Palestinian territories|Šablonas:Country data Okupuotos Palestinos teritorijos
r|Šablonas:City/CIV|Šablonas:City/Dramblio Kaulo Krantas
r|Šablonas:Country data Bohemia and Moravia|Šablonas:Country data Bohemija ir Moravija
r|Šablonas:Fftchlok|Šablonas:Ffsvklok
r|Šablonas:Info Japonijos prefektūros|Šablonas:Infolentelė Japonijos prefektūros
r|Šablonas:Infolentelė dakaro ralis|Šablonas:Infolentelė Dakaro ralis
r|Šablonas:Ffscgsut|Šablonas:Ffmnesut
r|Šablonas:Ffusrmin|Šablonas:Ffblrdin
r|Šablonas:Country data AUS|Šablonas:Country data Australija
r|Šablonas:Ublist|Šablonas:Sąrašas be punktų
r|Šablonas:Country data SOM|Šablonas:Country data Somalis
r|Šablonas:Country data Durango valstija|Šablonas:Country data Durangas
r|Šablonas:Ffgdrzei|Šablonas:Ffgerzei
r|Šablonas:Fscgcrv|Šablonas:Fsrbcrv
r|Šablonas:Startbox|Šablonas:S-start
r|Šablonas:Kioto prefektūra|Šablonas:Kiotas
r|Šablonas:Country data Rio de Žaneiras (valstija)|Šablonas:Country data Rio de Žaneiro valstija
r|Šablonas:Country data Germany|Šablonas:Country data Vokietija
r|Šablonas:Country alias ROM|Šablonas:Country alias Romania
r|Šablonas:Country data COG|Šablonas:Country data Kongo Respublika
r|Šablonas:Country data KAZ|Šablonas:Country data Kazachstanas
r|Šablonas:Country data BFA|Šablonas:Country data Burkina Fasas
r|Šablonas:Microsoft windows istorija|Šablonas:Microsoft Windows istorija
r|Šablonas:Country data Sakatekas|Šablonas:Country data Sakateko valstija
r|Šablonas:Location map Kaunas|Šablonas:Location map Lietuva
r|Šablonas:Country data South Ossetia|Šablonas:Country data Pietų Osetija
r|Šablonas:Double image|Šablonas:Du paveikslėliai
r|Šablonas:Infobox anime/Viršus|Šablonas:Infolentelė anime/Viršus
r|Šablonas:Country data Central African Republic|Šablonas:Country data Centrinės Afrikos Respublika
r|Šablonas:Location map Kupiškio rajonas|Šablonas:Location map Kupiškio rajono savivaldybė
r|Šablonas:Country data Philippines|Šablonas:Country data Filipinai
r|Šablonas:Country data SUI|Šablonas:Country data Šveicarija
r|Šablonas:Country data Mohéli|Šablonas:Country data Mwali
r|Šablonas:Otheruses4/doc|Šablonas:Kiti4/doc
r|Šablonas:Audekl-stub|Šablonas:Audeklas-stub
r|Šablonas:Country data USA-GA|Šablonas:Country data Džordžija
r|Šablonas:Country flag alias ROM|Šablonas:Country flag alias Romania
r|Šablonas:Country data POR|Šablonas:Country data Portugalija
r|Šablonas:IRLfutč|Šablonas:Eircom
r|Šablonas:Nagasakio prefektūra|Šablonas:Nagasakis
r|Šablonas:Country data GGY|Šablonas:Country data Gernsis
r|Šablonas:Country data Kyrgyzstan|Šablonas:Country data Kirgizija
r|Šablonas:Country flag alias QAT|Šablonas:Country flag alias Qatar
r|Šablonas:Country alias BEL|Šablonas:Country alias Belgium
r|Šablonas:Infobox kompiuteris|Šablonas:Infolentelė kompiuteris
r|Šablonas:Moby game|Šablonas:MobyGames
r|Šablonas:Country alias KSA|Šablonas:Country alias Saudi Arabia
r|Šablonas:Geo-stub|Šablonas:Geografija-stub
r|Šablonas:Botswana-ter|Šablonas:Botsvana-ter
r|Šablonas:Country data BDI|Šablonas:Country data Burundis
r|Šablonas:Country data MDV|Šablonas:Country data Maldyvai
r|Šablonas:AUS-ter|Šablonas:Australija-ter
r|Šablonas:Country data PER|Šablonas:Country data Peru
r|Šablonas:Antro-stub|Šablonas:Antropologija-stub
r|Šablonas:Country data Saint Kitts and Nevis|Šablonas:Country data Sent Kitsas ir Nevis
r|Šablonas:Country data COM|Šablonas:Country data Komorai
r|Šablonas:Country data PLB|Šablonas:Country data Britų Palestina
r|Šablonas:Country data Oachakos valstija|Šablonas:Country data Oachaka
r|Šablonas:Country data Zacatecas|Šablonas:Country data Sakateko valstija
r|Šablonas:Country alias URU|Šablonas:Country alias Uruguay
r|Šablonas:Optik-stub|Šablonas:Optika-stub
r|Šablonas:Japonijos-politikas-stub|Šablonas:Japonijos politikas-stub
r|Šablonas:Pradžia|Šablonas:Gimė
r|Šablonas:Delete|Šablonas:Trinti
r|Šablonas:Country data Kolima|Šablonas:Country data Kolimos valstija
r|Šablonas:Lt icon|Šablonas:Lt-icon
r|Šablonas:Country flag alias CHE|Šablonas:Country flag alias Switzerland
r|Šablonas:Country data Romania|Šablonas:Country data Rumunija
r|Šablonas:Country data United Kingdom|Šablonas:Country data Jungtinė Karalystė
r|Šablonas:Location map Pasvalio rajonas|Šablonas:Location map Pasvalio rajono savivaldybė
r|Šablonas:Latvijos partijos|Šablonas:Latvijos politinės partijos
r|Šablonas:Dvaras|Šablonas:Infolentelė dvaras
r|Šablonas:Location map Kėdainių rajonas|Šablonas:Location map Kėdainių rajono savivaldybė
r|Šablonas:Catmore|Šablonas:Plačiau
r|Šablonas:Vakajamos prefektūra|Šablonas:Vakajama
r|Šablonas:Country data BER|Šablonas:Country data Bermuda
r|Šablonas:Country data Maldives|Šablonas:Country data Maldyvai
r|Šablonas:Fftchduk|Šablonas:Ffczeduk
r|Šablonas:Arch-stub|Šablonas:Architektūra-stub
r|Šablonas:Country data Turks and Caicos Islands|Šablonas:Country data Terkso ir Kaikoso salos
r|Šablonas:Country alias SER|Šablonas:Country alias Serbia
r|Šablonas:Komp-stub|Šablonas:IT-stub
r|Šablonas:Country data Isle of Man|Šablonas:Country data Meno sala
r|Šablonas:Country data Brazil|Šablonas:Country data Brazilija
r|Šablonas:Atletikos čempionatas|Šablonas:Infolentelė atletikos čempionatas
r|Šablonas:Infobox Ordinas|Šablonas:Infolentelė ordinas
r|Šablonas:Country data Sint Maarten|Šablonas:Country data Sint Martenas
r|Šablonas:Country data MOZ|Šablonas:Country data Mozambikas
r|Šablonas:Fs player|Šablonas:Football squad player
r|Šablonas:Utah Jazz|Šablonas:Jutos Jazz
r|Šablonas:Infobox laivo klasė|Šablonas:Infolentelė laivo klasė
r|Šablonas:Country data Réunion|Šablonas:Country data Reunjonas
r|Šablonas:PD-USGov-NASA|Šablonas:PD-NASA
r|Šablonas:Country data Moreloso valstija|Šablonas:Country data Morelosas
r|Šablonas:Country data ROM|Šablonas:Country data Rumunija
r|Šablonas:Location map Vilniaus miesto savivaldybė|Šablonas:Location map Vilniaus miestas
r|Šablonas:639|Šablonas:ISO639-3Documentation
r|Šablonas:Country data KSA|Šablonas:Country data Saudo Arabija
r|Šablonas:Country data Congo, Democratic Republic of the|Šablonas:Country data Kongo Demokratinė Respublika
r|Šablonas:Country data North Yemen|Šablonas:Country data Šiaurės Jemenas
r|Šablonas:Euroleague|Šablonas:Eurolyga
r|Šablonas:Ffscgcrv|Šablonas:Ffsrbcrv
r|Šablonas:Country alias PAR|Šablonas:Country alias Paraguay
r|Šablonas:Country data LIE|Šablonas:Country data Lichtenšteinas
r|Šablonas:Liuksemburgo apygardos|Šablonas:Liuksemburgas-ter
r|Šablonas:Country alias ISR|Šablonas:Country alias Israel
r|Šablonas:Country data Equatorial Guinea|Šablonas:Country data Pusiaujo Gvinėja
r|Šablonas:Sta-stub|Šablonas:Stačiatikybė-stub
r|Šablonas:Country data UAE|Šablonas:Country data Jungtiniai Arabų Emyratai
r|Šablonas:Šilutės rajono savivaldybė|Šablonas:Šilutės rajonas
r|Šablonas:Country flag alias FRA|Šablonas:Country flag alias France
r|Šablonas:Successionbox|Šablonas:Succession box
r|Šablonas:Location map Zarasų rajonas|Šablonas:Location map Zarasų rajono savivaldybė
r|Šablonas:Jap|Šablonas:Ja
r|Šablonas:Country data DZA|Šablonas:Country data Alžyras
r|Šablonas:Mūš-stub|Šablonas:Mūšis-stub
r|Šablonas:Citol-stub|Šablonas:Citologija-stub
r|Šablonas:Country data Estremadūros regionas|Šablonas:Country data Estremadūra
r|Šablonas:Law-stub|Šablonas:Teisė-stub
r|Šablonas:Country data IRI|Šablonas:Country data Iranas
r|Šablonas:City/BLR|Šablonas:City/Baltarusijos miestas
r|Šablonas:Country alias LIB|Šablonas:Country alias Lebanon
r|Šablonas:Country data Easter Island|Šablonas:Country data Velykų sala
r|Šablonas:Country data USA-AL|Šablonas:Country data Alabama
r|Šablonas:Gamecover|Šablonas:Fair use
r|Šablonas:Country data PNG|Šablonas:Country data Papua Naujoji Gvinėja
r|Šablonas:Cleanup|Šablonas:Tvarkyti
r|Šablonas:Dominika-ter|Šablonas:Dominikos parapijos
r|Šablonas:Jonavos seniūnijos|Šablonas:Jonavos rajonas
r|Šablonas:LKL komandos|Šablonas:LKL klubai
r|Šablonas:Country data GUF|Šablonas:Country data Prancūzijos Gviana
r|Šablonas:Country data Sonoros valstija|Šablonas:Country data Sonora
r|Šablonas:New Jersey Nets|Šablonas:Bruklino Nets
r|Šablonas:Country data Brunei|Šablonas:Country data Brunėjus
r|Šablonas:User Skype|Šablonas:User skype
r|Šablonas:City/ISL|Šablonas:City/Islandijos miestas
r|Šablonas:Infobox|Šablonas:Infolentelė
r|Šablonas:Biograf-cleanup|Šablonas:Biograf-tvarkyti
r|Šablonas:Eurovizija vaikų|Šablonas:Vaikų Eurovizija
r|Šablonas:Mit-stub|Šablonas:Mitologija-stub
r|Šablonas:Country data Belize|Šablonas:Country data Belizas
r|Šablonas:Country data WSM|Šablonas:Country data Samoa
r|Šablonas:Ffusrzor|Šablonas:Ffukrzor
r|Šablonas:Missingsource|Šablonas:Nenurodytas šaltinis
r|Šablonas:Country data TUN|Šablonas:Country data Tunisas
r|Šablonas:Country data USA-DE|Šablonas:Country data Delaveras
r|Šablonas:Country data Ethiopia|Šablonas:Country data Etiopija
r|Šablonas:Country data DEU|Šablonas:Country data Vokietija
r|Šablonas:Country data MDA|Šablonas:Country data Moldavija
r|Šablonas:Taxobox/taxonomy|Šablonas:Auto taxobox/taxonomy
r|Šablonas:TurDes|Šablonas:TOCright
r|Šablonas:Lichtenšteino apskritys|Šablonas:Lichtenšteinas-ter
r|Šablonas:Location map Šilalės rajonas|Šablonas:Location map Šilalės rajono savivaldybė
r|Šablonas:Los Angeles Clippers|Šablonas:Los Andželo Clippers
r|Šablonas:Country alias GUA|Šablonas:Country alias Guatemala
r|Šablonas:Country data MNE|Šablonas:Country data Juodkalnija
r|Šablonas:Country alias SMR|Šablonas:Country alias San Marino
r|Šablonas:Country data Čečėnijos respublika|Šablonas:Country data Čečėnija
r|Šablonas:Country data Kabardos-Balkarijos Respublika|Šablonas:Country data Kabarda-Balkarija
r|Šablonas:Išn|Šablonas:Išnašos
r|Šablonas:Color|Šablonas:Infolentelė spalva
r|Šablonas:Country data Anguilla|Šablonas:Country data Angilija
r|Šablonas:Hqfl logos|Šablonas:Logo
r|Šablonas:Country data Serbų Krajina|Šablonas:Country data Serbų Krajinos Respublika
r|Šablonas:Virus-stub|Šablonas:Virusologija-stub
r|Šablonas:Country data Bavaria|Šablonas:Country data Bavarija
r|Šablonas:SCOfutč|Šablonas:Škotijos futbolo čempionatas
r|Šablonas:Ffgdrlok|Šablonas:Ffgerlok
r|Šablonas:Country flag alias BEN|Šablonas:Country flag alias Benin
r|Šablonas:Infobox anime/Kita|Šablonas:Infolentelė anime/Kita
r|Šablonas:Infobox RPG|Šablonas:Infolentelė RPG
r|Šablonas:Country data Niger|Šablonas:Country data Nigeris
r|Šablonas:Country data Macedonia, the former Yugoslav Republic of|Šablonas:Country data Makedonija
r|Šablonas:Chicago Bulls|Šablonas:Čikagos Bulls
r|Šablonas:TWNv|Šablonas:TPEv
r|Šablonas:Ffyugoli|Šablonas:Ffslooli
r|Šablonas:Ffyugofk|Šablonas:Ffsrbofk
r|Šablonas:City/WAL|Šablonas:City/Velso miestas
r|Šablonas:Country data Guyana|Šablonas:Country data Gajana
r|Šablonas:Country data Tamaulipaso valstija|Šablonas:Country data Tamaulipasas
r|Šablonas:Country data Ingušijos Respublika|Šablonas:Country data Ingušija
r|Šablonas:User bat-smg-4|Šablonas:User sgs-4
r|Šablonas:Sportininkas|Šablonas:Infolentelė krepšininkas
r|Šablonas:IDNv|Šablonas:INAv
r|Šablonas:Country flag alias ARG|Šablonas:Country flag alias Argentina
r|Šablonas:Bar procentai|Šablonas:Diagramos procentai
r|Šablonas:URU-ter|Šablonas:Urugvajus-ter
r|Šablonas:NCT|Šablonas:Jau Vikitekoj
r|Šablonas:Country data China, Republic of|Šablonas:Country data Kinijos Respublika
r|Šablonas:Country data UN|Šablonas:Country data Jungtinės Tautos
r|Šablonas:Template doc page viewed directly|Šablonas:Dokumentacijos subpuslapis
r|Šablonas:Country data Korienteso provincija|Šablonas:Country data Korjenteso provincija
r|Šablonas:Oz|Šablonas:Uz
r|Šablonas:Country data GBR|Šablonas:Country data Didžioji Britanija
r|Šablonas:Fiba player|Šablonas:FIBA player
r|Šablonas:Country data ISV|Šablonas:Country data Mergelių salos (JAV)
r|Šablonas:Country data Kentucky|Šablonas:Country data Kentukis
r|Šablonas:Country data Zanzibar|Šablonas:Country data Zanzibaras
r|Šablonas:Country data MX-HID|Šablonas:Country data Hidalgas
r|Šablonas:Location map Šiaulių miesto savivaldybė|Šablonas:Location map Šiaulių miestas
r|Šablonas:Country data Alsace|Šablonas:Country data Alsakas
r|Šablonas:Wrong-license|Šablonas:Klaidinga licencija
r|Šablonas:Country alias MEX|Šablonas:Country alias Mexico
r|Šablonas:Country data ARG|Šablonas:Country data Argentina
r|Šablonas:Country data NEP|Šablonas:Country data Nepalas
r|Šablonas:Infobox Rašytojas|Šablonas:Infolentelė Rašytojas
r|Šablonas:Country data Slovenia|Šablonas:Country data Slovėnija
r|Šablonas:Country data Northern Mariana Islands|Šablonas:Country data Šiaurės Marianos salos
r|Šablonas:Nat fs g end|Šablonas:Nat fs end
r|Šablonas:Country data SDN|Šablonas:Country data Sudanas
r|Šablonas:Country data Trinidad and Tobago|Šablonas:Country data Trinidadas ir Tobagas
r|Šablonas:Pradžia-Rinktinė-illu/paveikslėlis|Šablonas:Rinktinis paveikslėlis/paveikslėlis
r|Šablonas:Šalis|Šablonas:Country alias
r|Šablonas:EM Bangos|Šablonas:Elektromagnetinės bangos
r|Šablonas:Country data Pennsylvania|Šablonas:Country data Pensilvanija
r|Šablonas:Country data Great Britain|Šablonas:Country data Didžioji Britanija
r|Šablonas:Country data Astūrijos regionas|Šablonas:Country data Astūrija
r|Šablonas:Location map Ukmergės rajonas|Šablonas:Location map Ukmergės rajono savivaldybė
r|Šablonas:Ffyugrij|Šablonas:Ffcrorij
r|Šablonas:Country alias IRI|Šablonas:Country alias Iran
r|Šablonas:Country data Chuuk|Šablonas:Country data Čiukas
r|Šablonas:Imdb name|Šablonas:Imdb vardas
r|Šablonas:Ct|Šablonas:Plačiau
r|Šablonas:Chem-stub|Šablonas:Chemija-stub
r|Šablonas:Augal-stub|Šablonas:Augalas-stub
r|Šablonas:Kumamoto prefektūra|Šablonas:Kumamotas
r|Šablonas:Country alias SVK|Šablonas:Country alias Slovakia
r|Šablonas:Arachna-stub|Šablonas:Arachnologija-stub
r|Šablonas:Aero-stub|Šablonas:Aviacija-stub
r|Šablonas:Infolentelė Buvusi valstybė|Šablonas:Infolentelė buvusi valstybė
r|Šablonas:Done|Šablonas:Atlikta
r|Šablonas:Country data BHR|Šablonas:Country data Bahreinas
r|Šablonas:Infobox oro transporto bendrovė|Šablonas:Infolentelė oro transporto bendrovė
r|Šablonas:Country data BLR|Šablonas:Country data Baltarusija
r|Šablonas:Country data GUT|Šablonas:Country data Gvatemala
r|Šablonas:Country data Russian Federation|Šablonas:Country data Rusija
r|Šablonas:Country flag alias LVA|Šablonas:Country flag alias Latvia
r|Šablonas:Country flag alias SEN|Šablonas:Country flag alias Senegal
r|Šablonas:Country data Albania|Šablonas:Country data Albanija
r|Šablonas:Country data Sinaloa valstija|Šablonas:Country data Sinaloa
r|Šablonas:Country data Alaska|Šablonas:Country data Aliaska
r|Šablonas:FlagIOCmedalist|Šablonas:FlagIOCmedalininkas
r|Šablonas:Neaiškus priskyrimo požymis|Šablonas:Neaiškus priklausymo požymis
r|Šablonas:CountryISO3166|Šablonas:Iso3166
r|Šablonas:Pradžia-Rinktinė-illu/suspaustas|Šablonas:Rinktinis paveikslėlis/suspaustas
r|Šablonas:ŠablonoSmėliadėžė|Šablonas:Šablonų smėliadėžė
r|Šablonas:Country data AND|Šablonas:Country data Andora
r|Šablonas:Country data Martinique|Šablonas:Country data Martinika
r|Šablonas:Graikų fantastinės būtybės|Šablonas:Graikų mitinės būtybės
r|Šablonas:NL|Šablonas:Nl
r|Šablonas:Biolog-stub|Šablonas:Biologija-stub
r|Šablonas:Skyrius-stub|Šablonas:Išplėsti skyrių
r|Šablonas:Country data ASA|Šablonas:Country data Amerikos Samoa
r|Šablonas:Country data LEB|Šablonas:Country data Libanas
r|Šablonas:JAV federalistų partija/meta/shortname|Šablonas:Federalistų partija/meta/shortname
r|Šablonas:Kanagavos prefektūra|Šablonas:Kanagava
r|Šablonas:Infobox Instrument|Šablonas:Infolentelė muzikos instrumentas
r|Šablonas:Geostub|Šablonas:Geografija-stub
r|Šablonas:Country data SUR|Šablonas:Country data Surinamas
